"age","newspapers","tv","radio","websites","socmed","doctor","healthprof","gov","famfriend","vacdistrust"
35,1,4,3,2,1,1,1,1,1,2
67,4,3,1,2,1,1,1,2,2,1
37,1,3,2,3,1,1,3,3,3,1
42,3,4,4,3,4,2,2,3,2,1
83,4,3,2,1,1,1,1,2,1,4
53,1,3,1,3,1,1,1,1,2,2
59,2,4,4,2,1,1,1,2,2,1
36,1,1,1,2,1,1,1,1,1,2
71,4,4,1,2,1,1,1,1,1,1
44,3,1,2,4,1,1,1,1,2,2
48,2,3,3,2,3,3,3,2,4,2
62,2,4,3,4,1,1,2,2,3,2
71,4,3,4,2,1,1,1,2,2,1
58,4,4,4,4,3,1,2,3,3,2
51,2,3,2,2,2,1,1,3,1,2
71,3,4,4,2,2,1,1,2,2,3
43,2,2,2,2,1,1,1,1,1,3
69,4,3,3,3,2,2,3,2,1,1
41,2,3,3,3,2,1,1,1,2,2
71,4,4,3,3,3,1,1,1,2,2
71,4,4,4,3,3,1,1,2,2,1
37,3,3,3,3,3,2,2,3,3,3
25,4,3,4,3,3,1,2,2,3,2
36,1,3,3,3,1,1,1,2,2,3
50,2,4,2,2,1,1,1,2,1,1
56,2,4,4,2,1,3,3,4,2,1
47,1,3,2,2,4,1,1,2,2,2
63,1,3,1,2,1,1,1,1,1,2
43,2,2,2,3,1,1,1,3,2,1
58,1,1,4,4,1,1,2,1,1,2
56,1,4,4,3,1,1,1,3,2,1
35,1,2,2,1,1,1,2,2,2,3
48,1,3,2,2,3,1,1,4,2,2
49,1,3,3,2,2,1,1,1,2,3
47,1,3,3,3,2,1,1,3,1,4
58,2,4,2,2,2,2,2,4,2,4
40,2,4,2,4,4,1,1,2,2,4
56,2,4,3,3,2,2,2,2,3,3
45,3,3,1,3,2,1,1,3,3,1
60,3,4,3,3,1,1,1,3,2,2
48,3,1,3,3,1,1,3,3,3,2
34,2,2,2,2,2,1,1,2,1,1
46,3,3,2,1,1,2,1,1,2,2
44,1,4,3,4,3,1,1,2,2,3
48,2,2,1,2,2,1,1,1,1,2
32,4,4,3,4,3,2,3,3,2,3
25,1,3,3,3,3,1,1,1,3,1
38,2,3,1,4,1,1,1,1,1,1
61,1,4,2,4,1,1,1,1,1,3
34,1,2,2,2,1,1,1,1,1,2
45,2,4,3,4,3,1,1,2,2,2
56,1,3,3,3,1,1,1,1,1,2
42,1,4,2,1,2,1,1,1,2,3
54,1,2,1,2,1,1,2,3,2,3
56,4,4,3,3,1,1,1,4,1,1
47,1,2,2,2,1,1,1,2,1,2
29,2,4,1,2,1,1,1,2,1,2
73,4,4,3,2,1,1,2,2,2,1
76,2,1,3,3,1,1,1,2,3,3
53,1,3,3,3,2,2,2,2,3,2
71,2,4,3,3,1,1,1,2,1,1
64,1,3,3,3,1,1,1,3,3,3
55,1,3,1,4,2,1,1,1,2,1
55,3,3,4,2,1,1,1,2,2,2
33,3,2,2,4,3,4,3,2,4,4
58,1,1,2,4,1,1,2,4,2,2
49,2,4,4,2,2,1,2,2,3,2
46,3,4,3,4,2,2,2,3,2,1
69,1,4,2,2,1,1,2,2,1,3
54,1,3,3,3,3,3,3,4,4,2
41,4,3,1,1,2,1,1,3,1,2
64,4,4,4,4,1,2,2,2,3,2
44,1,4,1,4,2,1,1,3,1,2
47,1,2,2,1,1,2,3,3,2,1
74,2,4,1,1,2,1,1,2,1,2
47,3,4,4,4,3,1,1,2,1,2
45,1,3,1,3,1,1,1,2,1,2
25,2,2,1,2,1,1,1,2,1,4
46,1,3,2,4,2,1,1,1,1,1
72,4,4,2,4,2,1,1,1,1,2
46,3,3,3,2,2,1,1,4,2,2
35,1,4,3,2,3,1,1,2,1,1
74,1,4,3,3,1,1,2,3,1,2
33,2,4,1,4,2,1,1,4,2,1
38,3,3,3,3,3,3,3,3,3,2
69,1,4,1,4,1,1,1,4,2,1
61,1,4,2,1,1,1,1,1,1,3
36,3,4,2,3,1,1,1,1,1,3
39,4,2,3,3,2,1,2,3,3,1
69,3,3,3,2,2,1,1,2,2,1
47,1,2,3,3,2,1,1,3,3,4
44,1,4,1,2,1,2,1,1,3,1
31,3,4,1,3,3,1,1,1,2,1
35,2,3,4,3,2,1,2,3,4,3
29,1,2,3,3,2,1,1,3,3,2
34,1,3,3,3,4,3,3,3,3,1
52,4,3,4,2,2,1,1,1,1,1
49,2,2,2,2,2,2,2,2,2,3
48,4,4,2,1,1,1,1,3,2,2
68,1,4,1,4,1,1,1,1,1,1
71,3,4,1,1,1,2,2,2,2,1
44,3,4,2,3,2,1,1,2,3,2
60,1,3,1,2,1,1,1,2,1,2
39,2,2,2,2,2,2,2,2,2,3
50,2,3,3,1,1,1,1,2,2,4
66,4,4,1,4,1,1,1,1,1,1
67,1,1,1,3,1,1,1,3,1,3
33,1,2,1,1,1,1,1,1,2,5
33,2,2,2,2,2,1,1,2,2,3
58,1,4,1,2,2,1,1,4,2,2
64,2,2,2,2,1,1,1,2,1,1
31,4,1,1,1,1,1,1,3,2,2
56,2,4,1,2,1,1,1,1,2,2
59,3,4,4,3,2,2,3,3,2,1
55,4,4,3,3,1,1,1,3,2,2
54,4,4,4,4,3,2,3,4,3,1
60,4,4,3,4,4,1,1,3,3,2
53,2,4,2,3,3,1,1,3,2,2
29,3,2,3,3,3,3,2,3,3,3
60,1,4,1,3,2,1,1,2,2,1
36,1,2,1,3,4,1,1,2,3,1
73,2,4,3,2,2,1,1,2,2,1
38,1,3,1,2,1,1,1,2,2,2
51,1,4,4,1,1,1,2,3,3,2
59,1,4,4,4,3,2,3,3,3,2
51,1,4,2,1,1,1,1,3,3,1
27,1,4,1,3,4,1,4,4,3,1
64,3,3,2,2,2,2,2,2,2,2
56,1,4,1,3,1,1,1,2,2,2
55,1,3,1,3,1,1,1,3,1,2
35,2,2,1,2,2,1,1,1,2,3
35,1,2,2,3,3,1,1,1,2,1
48,1,4,3,1,1,1,1,3,3,3
49,1,2,1,2,1,1,1,4,2,1
57,1,4,2,1,1,1,1,1,2,1
46,4,4,3,3,1,2,2,3,2,1
68,1,1,1,2,2,1,1,1,2,2
56,3,3,1,3,1,1,3,3,1,1
59,4,4,4,3,3,1,1,3,1,1
38,2,4,2,4,1,1,1,1,1,3
73,3,3,3,1,1,2,2,2,2,2
32,2,2,2,4,2,3,3,3,3,1
54,1,2,1,2,1,1,1,2,2,3
49,1,2,1,2,2,1,1,2,2,4
44,2,2,2,2,2,3,2,2,2,3
46,3,3,3,3,3,3,3,3,3,2
32,1,3,1,3,3,1,1,3,2,2
34,2,4,2,4,2,2,2,1,3,1
66,2,4,2,3,1,1,1,1,1,3
47,2,1,1,2,1,1,1,2,1,1
61,2,2,4,4,3,1,2,2,2,3
54,1,2,1,4,1,1,2,2,1,1
37,1,2,1,3,2,1,1,3,1,1
53,1,4,1,2,3,1,1,2,2,2
50,4,3,3,4,2,4,1,2,1,2
56,1,3,2,3,3,1,1,2,2,2
78,2,4,4,2,2,2,3,3,2,1
49,3,4,1,1,2,1,1,2,2,3
69,1,4,2,3,2,1,1,2,3,2
75,3,3,3,2,1,2,1,2,2,3
20,1,2,1,4,3,1,2,2,2,1
36,2,2,4,2,1,1,1,2,2,2
26,4,3,3,4,3,4,2,3,2,2
34,1,1,1,1,1,1,1,1,1,5
46,2,2,2,3,2,1,1,2,2,3
46,2,2,3,3,2,3,3,3,2,3
34,3,4,4,2,4,4,3,2,3,3
29,1,4,3,3,3,1,3,3,2,3
64,3,4,3,3,3,3,3,3,3,2
37,3,4,2,3,3,3,3,3,3,1
33,3,4,2,4,3,4,3,4,3,3
23,2,2,1,3,3,1,1,2,3,4
53,4,4,2,2,1,1,2,2,2,2
60,1,4,4,1,1,1,1,4,1,2
43,1,1,1,3,3,1,1,3,1,3
30,2,4,3,4,3,3,3,4,3,2
31,2,4,1,4,2,1,1,3,1,1
63,3,4,3,4,2,1,1,2,2,2
57,2,3,2,2,1,1,2,3,1,2
50,2,3,1,3,2,1,2,4,2,2
31,1,4,3,3,3,1,1,2,2,2
54,4,4,1,3,1,3,1,3,3,1
48,1,4,3,3,2,1,3,3,3,1
